index	*ID	version	enabled	ladder	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	diablocloneweight	*eol	prop13	par13	min13	max13
jamellasunique625	625	100	1		1		93		7fb			5	5000								dru		1	5	all-stats		28	52	mana-kill		28	52	gold%		236	379	demon-heal		28	52	regen-mana		46	186	cheap		10	20	heal-kill		28	52	vit		93	140	oskill	58	6	93	ease		-93	-93	regen		46	186		0				
jamellasunique626	626	100	1		1		94		7gd			5	5000								dru		1	5	hp%		47	94	ignore-ac		1	1	aura	98	3	32	heal-kill		28	52	cheap		10	20	dmg%		520	1040	pierce-immunity-damage		300	300	att%		194	482	deadly		35	70	ease		-94	-94						0				
jamellasunique627	627	100	1		1		56		7dg			5	5000								dru		1	4	ease		-56	-56	hp		112	168	hp%		28	56	mag%		81	162	half-freeze		1	1	oskill	250	6	56	regen-mana		28	112	gold%		162	268														0				
jamellasunique628	628	100	1		1		78		7di			5	5000								ass		1	5	demon-heal		24	44	move1		15	103	res-all-max		10	20	hp%		39	78	mana%		39	78	hp		156	234	cast1		10	25																		0				
jamellasunique629	629	100	1		1		99		7kr			5	5000								ass		1	5	regen		49	198	demon-heal		29	55	pierce-immunity-fire		300	300	gold%		248	397	aura	102	3	33	regen-mana		49	198	heal-kill		29	55	mag%		124	248	oskill	32	3	33	res-all		32	46						0				
jamellasunique630	630	100	1		1		79		7bl			5	5000								nec		1	5	oskill	54	3	27	pierce-immunity-poison		300	300	hp		158	237	res-all		31	44	all-stats		24	45	regen-mana		39	158	cheap		10	20	demon-heal		24	45	res-pois-len		75	75	mana-kill		24	45						0				
jamellasunique631	631	100	1		1		64		7tk			5	5000								dmg%		370	740	hp%		32	64	slow		25	25	mag%		89	178	ethereal		1	1	indestruct		1	1	att		345	665	pal		1	4	dmg-norm		320	640	swing1		15	89	pierce-immunity-damage		300	300						0				
jamellasunique632	632	100	1		1		54		7ta			5	5000								sor		1	4	res-all-max		10	20	hp		108	162	mana		108	162	oskill	58	6	54																														0				
jamellasunique633	633	100	1		1		85		7bk			5	5000								ass		1	5	hp		170	255	all-stats		26	48	res-fire-max		10	20	res-all		31	45	dmg-fire		425	850	pierce-immunity-fire		300	300	mana		170	255	extra-fire		170	255	mana-kill		26	48	aura	102	3	29						0				
jamellasunique634	634	100	1		1		77		7b8			5	5000								dru		1	5	extra-fire		154	231	oskill	81	6	77	gold%		204	331	heal-kill		24	44	ease		-77	-77	regen-mana		38	154	mag%		102	204	addxp		10	20	res-fire		36	55	hp		154	231	demon-heal		24	44		0				
jamellasunique635	635	100	1		1		54		7ja			5	5000								ama		1	4	dmg%		320	640	move1		15	79	dex		54	81	crush		25	27	vit		54	81	hp		108	162	all-stats		18	32	pierce-immunity-damage		300	300	hp%		27	54										0				
jamellasunique636	636	100	1		1		72		7pi			5	5000								dmg%		410	820	deadly		35	70	dmg-norm		360	720	all-stats		23	41	slow		25	25	addxp		10	20																										0				
jamellasunique637	637	100	1		1		83		7s7			5	5000								ama		1	5	move1		15	108	demon-heal		25	47	mana-kill		25	47	mag%		108	216	aura	118	3	28	heal-kill		25	47	gold%		216	349	regen		41	166														0				
jamellasunique638	638	100	1		1		77		7gl			5	5000								ama		1	5	freeze		1	1	hp%		38	77	abs-cold%		25	50	res-cold-max		10	20	aura	114	3	26																										0				
jamellasunique639	639	100	1		1		99		7ts			5	5000								allskills		1	2	enr		99	149	regen		49	198	oskill	32	3	33	demon-heal		29	55	cheap		10	20	gold%		248	397	extra-pois		297	396	hp		198	297	addxp		10	20										0				
jamellasunique640	640	100	1		1		63		7sr			5	5000								allskills		1	2	abs-ltng%		25	50	res-ltng		34	52	hp		126	189	all-stats		20	37	ease		-63	-63	cheap		10	20																						0				
jamellasunique641	641	100	1		1		70		7tr			5	5000								ama		1	4	extra-ltng		140	210	mana		140	210	res-ltng-max		10	20	dmg-ltng		350	700	abs-ltng%		25	50	res-all		30	43	ease		-70	-70	regen		35	140	addxp		10	20	aura	118	3	24						0				
jamellasunique642	642	100	1		1		87		7br			5	5000								bar		1	5	deadly		35	70	str		87	131	balance1		35	35	ethereal		1	1	indestruct		1	1	noheal		1	1	dmg%		485	970	indestruct		1	1	hp		174	261	swing1		15	112						0				
jamellasunique643	643	100	1		1		83		7st			5	5000								allskills		1	2	dmg-ac		50	880	hp%		41	83	res-all-max		10	20	dex		83	125	all-stats		25	47	crush		25	42	swing1		15	108	att-undead		183	449														0				
jamellasunique644	644	100	1		1		97		7p7			5	5000								allskills		1	2	mana%		48	97	res-cold-max		10	20	abs-cold%		25	50	vit		97	146	freeze		1	1	oskill	54	3	33	aura	114	3	33	mana-kill		29	54														0				
jamellasunique645	645	100	1		1		57		7o7			5	5000								allskills		1	2	mag%		82	164	cast1		10	25	res-all		28	41	regen-mana		28	114	res-pois-len		75	75	cheap		10	20	oskill	121	6	57	ease		-57	-57	mana-kill		19	34										0				
jamellasunique646	646	100	1		1		70		7vo			5	5000								allskills		1	2	mana-kill		22	40	light-thorns		70	140	regen		35	140	mag%		95	190	ease		-70	-70	oskill	81	6	70	all-stats		22	40	mana%		35	70	res-all-max		10	20										0				
jamellasunique647	647	100	1		1		68		7s8			5	5000								dru		1	4	cheap		10	20	all-stats		22	39	demon-heal		22	39	heal-kill		22	39	move1		15	93																										0				
jamellasunique648	648	100	1		1		86		7pa			5	5000								dru		1	5	pierce-immunity-cold		300	300	cheap		10	20	gold%		222	358	addxp		10	20	mana-kill		26	48	mag%		111	222	abs-cold%		25	50																		0				
jamellasunique649	649	100	1		1		82		7h7			5	5000								allskills		1	2	vit		82	123	oskill	58	6	82	cheap		10	20	mag%		107	214	heal-kill		25	46	regen		41	164																						0				
jamellasunique650	650	100	1		1		91		7wc			5	5000								allskills		1	2	dmg%		505	1010	pierce-immunity-damage		300	300	res-all-max		10	20	crush		25	46	att%		191	473	hp%		45	91	dmg-ac		50	960	str		91	137	res-all		32	46										0				
jamellasunique651	651	100	1		1		55		6ss			5	5000								allskills		1	2	mana-kill		18	33	heal-kill		18	33	abs-ltng%		25	50	hp%		27	55	all-stats		18	33	res-all-max		10	20	res-all		28	41																		0				
jamellasunique652	652	100	1		1		67		6ls			5	5000								ass		1	4	move1		15	92	demon-heal		21	39	oskill	58	6	67	mag%		92	184	pierce-immunity-poison		300	300	mana-kill		21	39	heal-kill		21	39	regen-mana		33	134	res-pois-len		75	75	res-pois		35	53						0				
jamellasunique653	653	100	1		1		87		6cs			5	5000								allskills		1	2	res-all-max		10	20	move1		15	112	cast1		10	25	res-all		31	45	ease		-87	-87	res-pois-len		75	75	regen		43	174	extra-pois		261	348	vit		87	131	heal-kill		26	49						0				
jamellasunique654	654	100	1		1		96		6bs			5	5000								ass		1	5	oskill	276	6	96	vit		96	144	enr		96	144	hp%		48	96	regen		48	192																										0				
jamellasunique655	655	100	1		1		86		6ws			5	5000								allskills		1	2	gold%		222	358	cast1		10	25	move1		15	111	mana		172	258	res-all-max		10	20	mana%		43	86	vit		86	129	demon-heal		26	48	cheap		10	20	ease		-86	-86						0				
jamellasunique656	656	100	1		1		61		6sb			5	5000								ama		1	4	ease		-61	-61	heal-kill		20	36	demon-heal		20	36	cheap		10	20	pierce-immunity-poison		300	300	mana		122	183																						0				
jamellasunique657	657	100	1		1		66		6hb			5	5000								allskills		1	2	ease		-66	-66	aura	102	3	22	gold%		182	298	mana-kill		21	38	mana%		33	66	hp		132	198	mag%		91	182	regen		33	132	oskill	32	3	22	regen-mana		33	132	cheap		10	20		0				
jamellasunique658	658	100	1		1		56		6lb			5	5000								allskills		1	2	swing1		15	81	vit		56	84	all-stats		19	33	res-all		28	41	dmg-norm		280	560																										0				
jamellasunique659	659	100	1		1		75		6cb			5	5000								allskills		1	2	dmg%		425	850	noheal		1	1	str		75	113	res-all		30	44	vit		75	113	crush		25	38	swing1		15	100	all-stats		23	43	res-all-max		10	20										0				
jamellasunique660	660	100	1		1		76		6s7			5	5000								ama		1	5	addxp		10	20	mana%		38	76	pierce-immunity-light		300	300	all-stats		24	43	regen-mana		38	152	oskill	81	6	76	cheap		10	20	gold%		202	328														0				
jamellasunique661	661	100	1		1		79		6l7			5	5000								allskills		1	2	gold%		208	337	cheap		10	20	hp		158	237	enr		79	119	mana		158	237																										0				
jamellasunique662	662	100	1		1		87		6sw			5	5000								allskills		1	2	regen-mana		43	174	enr		87	131	mana%		43	87	oskill	58	6	87	regen		43	174	demon-heal		26	49	aura	102	3	29	dmg-fire		435	870	pierce-immunity-fire		300	300	res-all		31	45	cast1		10	25		0				
jamellasunique663	663	100	1		1		86		6lw			5	5000								dmg%		480	960	pierce-immunity-damage		300	300	balance1		35	35	aura	122	3	29	dmg-demon		458	930	reduce-ac		50	75	allskills		1	2																						0				
jamellasunique664	664	100	1		1		61		6lx			5	5000								dmg%		355	710	ama		1	4	aura	98	3	21	levelreq		1	1	dex		61	92	swing1		15	86	pierce-immunity-damage		300	300																						0				
jamellasunique665	665	100	1		1		72		6mx			5	5000								allskills		1	2	dmg%		410	820	dmg-ac		50	770	cheap		10	20	att-undead		172	416	dmg-demon		416	860	ethereal		1	1	indestruct		1	1																		0				
jamellasunique666	666	100	1		1		68		6hx			5	5000								ama		1	4	dmg%		390	780	pierce-immunity-damage		300	300	res-all		30	43	res-all-max		10	20	all-stats		22	39	levelreq		1	1	ease		-68	-68	oskill	54	3	23														0				
jamellasunique667	667	100	1		1		90		6rx			5	5000								ama		1	5	addxp		10	20	abs-fire%		25	50	hp		180	270	res-all		32	45	cheap		10	20	aura	102	3	30	ease		-90	-90																		0				
jamellasunique668	668	100	1		1		1		ob1			5	5000								sor		1	2	half-freeze		1	1	heal-kill		5	6																																						0				
jamellasunique669	669	100	1		1		7		ob2			5	5000								sor		1	2	res-all-max		10	20	mana		14	21																																						0				
jamellasunique670	670	100	1		1		11		ob3			5	5000								allskills		1	1	enr		11	17	mag%		36	72	regen-mana		5	22	regen		5	22	cheap		10	20																										0				
jamellasunique671	671	100	1		1		18		ob4			5	5000								sor		1	2	mana-kill		9	14	res-all		20	29	gold%		86	154	oskill	81	6	18	cheap		10	20	demon-heal		9	14																						0				
jamellasunique672	672	100	1		1		22		ob5			5	5000								allskills		1	1	regen		11	44	mana		44	66	enr		22	33	res-pois		25	39	move1		15	47	vit		22	33																						0				
jamellasunique673	673	100	1		1		16		am1			5	5000								ama		1	2	openwounds		35	70	res-all-max		10	20	dmg-norm		80	160	heal-kill		9	13																														0				
jamellasunique674	674	100	1		1		25		am2			5	5000								allskills		1	1	openwounds		35	70	dmg-ac		50	300	vit		25	38	indestruct		1	1																														0				
jamellasunique675	675	100	1		1		21		am3			5	5000								allskills		1	1	regen-mana		10	42	mana-kill		10	16	gold%		92	163	hp		42	63	res-pois		25	39	all-stats		10	16	hp%		10	21																		0				
jamellasunique676	676	100	1		1		31		am4			5	5000								allskills		1	1	mana		62	93	all-stats		12	21	res-ltng		28	43	addxp		10	20	ease		-31	-31	heal-kill		12	21	mana%		15	31	hp%		15	31	mana-kill		12	21										0				
jamellasunique677	677	100	1		1		23		am5			5	5000								allskills		1	1	gold%		96	169	regen		11	46	res-pois-len		75	75	hp		46	69	move1		15	48	mana-kill		10	17	addxp		10	20																		0				
jamellasunique678	678	100	1		1		35		ob6			5	5000								sor		1	3	pierce-immunity-cold		300	300	addxp		10	20	cheap		10	20	heal-kill		13	23	mana-kill		13	23	half-freeze		1	1																						0				
jamellasunique679	679	100	1		1		45		ob7			5	5000								allskills		1	1	all-stats		16	28	ease		-45	-45	res-pois-len		75	75	gold%		140	235	hp%		22	45	res-pois		31	48	move1		15	70																		0				
jamellasunique680	680	100	1		1		43		ob8			5	5000								allskills		1	1	hp%		21	43	mana%		21	43	mana		86	129	oskill	58	6	43	ease		-43	-43	mana-kill		15	27	heal-kill		15	27	regen		21	86	regen-mana		21	86										0				
jamellasunique681	681	100	1		1		45		ob9			5	5000								allskills		1	1	vit		45	68	mana%		22	45	res-all		27	39	cast1		10	25	cheap		10	20	gold%		140	235																						0				
jamellasunique682	682	100	1		1		45		oba			5	5000								allskills		1	1	demon-heal		16	28	addxp		10	20	enr		45	68	hp%		22	45	all-stats		16	28	move1		15	70	regen		22	90	ease		-45	-45	res-all		27	39										0				
jamellasunique683	683	100	1		1		37		am6			5	5000								allskills		1	1	gold%		124	211	all-stats		14	24	demon-heal		14	24	mag%		62	124	addxp		10	20																										0				
jamellasunique684	684	100	1		1		42		am7			5	5000								allskills		1	1	gold%		134	226	oskill	58	6	42	regen		21	84	heal-kill		15	26	hp		84	126	abs-cold%		25	50	all-stats		15	26	addxp		10	20	aura	114	3	14										0				
jamellasunique685	685	100	1		1		46		am8			5	5000								allskills		1	1	mag%		71	142	heal-kill		16	28	res-cold		31	48	aura	114	3	16	addxp		10	20	mana-kill		16	28																						0				
jamellasunique686	686	100	1		1		47		am9			5	5000								allskills		1	1	addxp		10	20	mana		94	141	res-all-max		10	20	move1		15	72	regen		23	94	regen-mana		23	94																						0				
jamellasunique687	687	100	1		1		42		ama			5	5000								allskills		1	1	hp%		21	42	dex		42	63	hp		84	126	dmg-norm		210	420	deadly		35	70	noheal		1	1	dmg%		260	520	all-stats		15	26	res-all		26	38	slow		25	25						0				
jamellasunique688	688	100	1		1		62		obb			5	5000								allskills		1	2	cheap		10	20	light-thorns		62	124	regen		31	124	oskill	32	3	21	demon-heal		20	36																										0				
jamellasunique689	689	100	1		1		65		obc			5	5000								allskills		1	2	demon-heal		21	38	extra-fire		130	195	hp		130	195	mana-kill		21	38	mag%		90	180																										0				
jamellasunique690	690	100	1		1		80		obd			5	5000								allskills		1	2	res-ltng-max		10	20	pierce-immunity-light		300	300	mag%		105	210	cheap		10	20	regen-mana		40	160	heal-kill		25	45	mana-kill		25	45																		0				
jamellasunique691	691	100	1		1		90		obe			5	5000								allskills		1	2	cast1		10	25	res-cold-max		10	20	mana-kill		27	50	regen-mana		45	180	mag%		115	230	regen		45	180	ease		-90	-90	gold%		230	370	freeze		1	1	half-freeze		1	1						0				
jamellasunique692	692	100	1		1		99		obf			5	5000								sor		1	5	hp%		49	99	pierce-immunity-fire		300	300	ease		-99	-99	cheap		10	20	fireskill		1	6	vit		99	149																						0				
jamellasunique693	693	100	1		1		50		amb			5	5000								allskills		1	1	hp%		25	50	mana-kill		17	30	ease		-50	-50	oskill	58	6	50	mag%		75	150	gold%		150	250																						0				
jamellasunique694	694	100	1		1		91		amc			5	5000								ama		1	5	hp		182	273	gold%		232	373	ease		-91	-91	fireskill		1	6	pierce-immunity-fire		300	300	res-fire		37	57	move1		15	116	all-stats		27	51														0				
jamellasunique695	695	100	1		1		61		amd			5	5000								dmg%		355	710	allskills		1	2	att%		161	383	move1		15	86	all-stats		20	36	balance1		35	35	reduce-ac		50	75																						0				
jamellasunique696	696	100	1		1		83		ame			5	5000								allskills		1	2	mana		166	249	cast1		10	25	enr		83	125	all-stats		25	47	pierce-immunity-light		300	300																										0				
jamellasunique697	697	100	1		1		70		amf			5	5000								ama		1	4	mag%		95	190	res-all-max		10	20	pierce-immunity-poison		300	300	ease		-70	-70	cheap		10	20	demon-heal		22	40	gold%		190	310	res-pois-len		75	75	heal-kill		22	40	mana-kill		22	40						0				
jamellasunique698	698	100	1		1		1		cap			5	5000								pal		1	2	gold%		52	103	mana-kill		5	6																																						0				
jamellasunique699	699	100	1		1		4		skp			5	5000								ass		1	2	vit		4	6	red-mag		2	4	res-all-max		10	20																																		0				
jamellasunique700	700	100	1		1		11		hlm			5	5000								ass		1	2	hp		22	33	res-all-max		10	20	mana%		5	11	regen		5	22	mana-kill		7	11																										0				
jamellasunique701	701	100	1		1		15		fhl			5	5000								ass		1	2	dmg-to-mana		25	50	mana%		7	15	red-mag		7	15	regen-mana		7	30	mag%		40	80	res-ltng		22	34	abs-ltng%		25	50																		0				
jamellasunique702	702	100	1		1		25		ghm			5	5000								ass		1	2	res-all		22	33	enr		25	38	dmg-to-mana		25	50	mag%		50	100	addxp		10	20	red-mag		12	25																						0				
jamellasunique703	703	100	1		1		34		crn			5	5000								bar		1	3	dmg%		34	68	res-all-max		10	20	dex		34	51	ease		-34	-34	ethereal		1	1	indestruct		1	1	regen		17	68	heal-kill		13	22	hp		68	102										0				
jamellasunique704	704	100	1		1		20		msk			5	5000								sor		1	2	addxp		10	20	all-stats		10	15	red-mag		10	20																																		0				
jamellasunique705	705	100	1		1		1		qui			5	5000								ass		1	2	demon-heal		5	6	mana-kill		5	6																																						0				
jamellasunique706	706	100	1		1		3		lea			5	5000								ama		1	2	dmg%		3	6	pal		1	2																																						0				
jamellasunique707	707	100	1		1		5		hla			5	5000								pal		1	2	mana%		2	5	extra-cold		2	5																																						0				
jamellasunique708	708	100	1		1		7		stu			5	5000								ama		1	2	res-fire-max		10	20	move1		15	32																																						0				
jamellasunique709	709	100	1		1		10		rng			5	5000								bar		1	2	swing1		10	25	res-all-max		10	20	ac-hth		75	125																																		0				
jamellasunique710	710	100	1		1		13		scl			5	5000								allskills		1	1	dmg-to-mana		25	50	res-all		18	26																																						0				
jamellasunique711	711	100	1		1		14		chn			5	5000								pal		1	2	dmg%		42	70	move1		15	39	swing1		10	27																																		0				
jamellasunique712	712	100	1		1		21		brs			5	5000								dru		1	2	regen-mana		10	42	mag%		46	92	mana%		10	21	res-fire-max		10	20	mana-kill		10	16	addxp		10	20	regen		10	42																		0				
jamellasunique713	713	100	1		1		20		spl			5	5000								dru		1	2	red-mag		10	20	res-all		21	30	vit		20	30	all-stats		10	15	hp		40	60	cheap		10	20																						0				
jamellasunique714	714	100	1		1		27		plt			5	5000								pal		1	3	addxp		10	20	mana		54	81	res-all		23	33	enr		27	41	cast1		10	25																										0				
jamellasunique715	715	100	1		1		27		fld			5	5000								dru		1	3	oskill	58	6	27	hp		54	81	hp%		13	27																																		0				
jamellasunique716	716	100	1		1		37		gth			5	5000								allskills		1	1	all-stats		14	24	str		37	56	res-all-max		10	20	hp		74	111	balance1		35	35	ease		-37	-37	heal-kill		14	24																		0				
jamellasunique717	717	100	1		1		40		ful			5	5000								dru		1	3	dmg%		120	200	cheap		10	20	thorns		40	80	res-all-max		10	20	demon-heal		15	25	ethereal		1	1	indestruct		1	1	ac		225	425	regen		20	80										0				
jamellasunique718	718	100	1		1		43		aar			5	5000								ama		1	3	all-stats		15	27	ac%		143	329	hp		86	129	res-all		26	38																														0				
jamellasunique719	719	100	1		1		34		ltp			5	5000								dru		1	3	res-all		25	36	gold%		118	202	balance1		35	35	ethereal		1	1	indestruct		1	1																										0				
jamellasunique720	720	100	1		1		1		buc			5	5000								sor		1	2	res-ltng-max		10	20	heal-kill		5	6																																						0				
jamellasunique721	721	100	1		1		5		sml			5	5000								dru		1	2	demon-heal		6	8	mana%		2	5																																						0				
jamellasunique722	722	100	1		1		11		lrg			5	5000								sor		1	2	vit		11	17	nofreeze		1	1	cast1		10	25	extra-cold		5	11																														0				
jamellasunique723	723	100	1		1		16		kit			5	5000								sor		1	2	res-fire-max		10	20	gold%		82	148	dmg-to-mana		25	50	mag%		41	82	regen-mana		8	32	addxp		10	20																						0				
jamellasunique724	724	100	1		1		26		tow			5	5000								pal		1	3	light-thorns		26	52	res-ltng		27	41	heal-kill		11	18	demon-heal		11	18																														0				
jamellasunique725	725	100	1		1		28		gts			5	5000								pal		1	3	hp		56	84	mana%		14	28	res-all		23	34																																		0				
jamellasunique726	726	100	1		1		2		lgl			5	5000								dru		1	2	regen		1	4	ease		-2	-2																																						0				
jamellasunique727	727	100	1		1		7		vgl			5	5000								ass		1	2	cheap		10	20	enr		7	11																																						0				
jamellasunique728	728	100	1		1		13		mgl			5	5000								ass		1	2	dmg%		39	65	ethereal		1	1	indestruct		1	1	ac		90	155	red-dmg%		16	22	res-all-max		10	20																						0				
jamellasunique729	729	100	1		1		19		tgl			5	5000								allskills		1	1	dmg%		57	95	ethereal		1	1	indestruct		1	1	balance1		35	35	ac%		119	257	str		19	29	res-all		21	30																		0				
jamellasunique730	730	100	1		1		26		hgl			5	5000								dru		1	3	res-all-max		10	20	addxp		10	20	oskill	145	6	26	dmg%		78	130	demon-heal		11	18	regen		13	52																						0				
jamellasunique731	731	100	1		1		3		lbt			5	5000								dru		1	2	cast1		10	25	hp%		1	3																																						0				
jamellasunique732	732	100	1		1		8		vbt			5	5000								allskills		1	1	enr		8	12	all-stats		7	9	hp		16	24	mana		16	24																														0				
jamellasunique733	733	100	1		1		11		mbt			5	5000								ama		1	2	fireskill		1	2	hp		22	33	extra-fire		5	11	ease		-11	-11	pal		1	2																										0				
jamellasunique734	734	100	1		1		23		tbt			5	5000								pal		1	2	extra-ltng		11	23	res-all-max		10	20	gold%		96	169	mag%		48	96	regen		11	46																										0				
jamellasunique735	735	100	1		1		27		hbt			5	5000								ama		1	3	vit		27	41	str		27	41	ac%		127	281	res-all		23	33	hp%		13	27	swing1		10	34	aura	104	3	9	pal		1	3														0				
jamellasunique736	736	100	1		1		3		lbl			5	5000								pal		1	2	abs-fire%		25	50	vit		3	5																																						0				
jamellasunique737	737	100	1		1		7		vbl			5	5000								ass		1	2	res-all-max		10	20	extra-ltng		3	7	res-all		13	20	mana		14	21																														0				
jamellasunique738	738	100	1		1		11		mbl			5	5000								pal		1	2	cheap		10	20	abs-fire%		25	50	heal-kill		7	11																																		0				
jamellasunique739	739	100	1		1		23		tbl			5	5000								ama		1	2	mana		46	69	res-fire		26	40	move1		15	48																																		0				
jamellasunique740	740	100	1		1		26		hbl			5	5000								pal		1	3	cheap		10	20	enr		26	39	gold%		102	178	ease		-26	-26	regen-mana		13	52	hp%		13	26																						0				
jamellasunique741	741	100	1		1		20		bhm			5	5000								dmg%		60	100	bar		1	2	ac-miss		125	225	dex		20	30																																		0				
jamellasunique742	742	100	1		1		21		bsh			5	5000								allskills		1	1	res-all		21	31	nofreeze		1	1	red-mag		10	21	regen-mana		10	42																														0				
jamellasunique743	743	100	1		1		13		spk			5	5000								dru		1	2	heal-kill		8	12	ease		-13	-13	red-mag		6	13	demon-heal		8	12																														0				
jamellasunique744	744	100	1		1		35		xap			5	5000								sor		1	3	vit		35	53	move1		15	60	mana-kill		13	23	regen-mana		17	70	nofreeze		1	1	all-stats		13	23																						0				
jamellasunique745	745	100	1		1		34		xkp			5	5000								dru		1	3	str		34	51	red-dmg%		22	30	res-all		25	36	all-stats		13	22	move1		15	59	thorns		34	68	dmg%		102	170	ac		195	365	ease		-34	-34										0				
jamellasunique746	746	100	1		1		41		xlm			5	5000								pal		1	3	enr		41	62	mana		82	123	vit		41	62	hp		82	123	regen		20	82	demon-heal		15	26	cheap		10	20																		0				
jamellasunique747	747	100	1		1		40		xhl			5	5000								allskills		1	1	cast1		10	25	extra-pois		20	40	all-stats		15	25	move1		15	65	res-pois		30	47	mag%		65	130	demon-heal		15	25																		0				
jamellasunique748	748	100	1		1		53		xhm			5	5000								bar		1	4	hp%		26	53	oskill	145	6	53	dmg%		53	106	ac-hth		290	555	levelreq		1	1	red-dmg		26	53	hp		106	159	vit		53	80	move1		15	78										0				
jamellasunique749	749	100	1		1		58		xrn			5	5000								dru		1	4	cheap		10	20	res-pois		33	51	res-pois-max		10	20	enr		58	87	all-stats		19	34																										0				
jamellasunique750	750	100	1		1		54		xsk			5	5000								dru		1	4	dmg%		162	270	levelreq		1	1	dex		54	81	ac%		154	362	ac-miss		295	565	demon-heal		18	32	hp%		27	54	red-dmg		27	54														0				
jamellasunique751	751	100	1		1		36		xui			5	5000								dru		1	3	ease		-36	-36	dmg-to-mana		25	50	res-cold		29	45	oskill	58	6	36	aura	105	3	12	demon-heal		14	23	move1		15	61																		0				
jamellasunique752	752	100	1		1		39		xea			5	5000								ama		1	3	res-fire		30	46	fireskill		1	3	all-stats		14	25	hp%		19	39	addxp		10	20	regen-mana		19	78	pal		1	3	oskill	32	3	13														0				
jamellasunique753	753	100	1		1		37		xla			5	5000								ass		1	3	extra-cold		18	37	mana%		18	37	vit		37	56	mana-kill		14	24																														0				
jamellasunique754	754	100	1		1		48		xtu			5	5000								ass		1	3	red-mag		24	48	move1		15	73	cast1		10	25	res-all-max		10	20	mana%		24	48																										0				
jamellasunique755	755	100	1		1		47		xng			5	5000								allskills		1	1	vit		47	71	str		47	71	res-all		27	39	ac%		147	341																														0				
jamellasunique756	756	100	1		1		41		xcl			5	5000								sor		1	3	regen-mana		20	82	heal-kill		15	26	move1		15	66	res-all-max		10	20																														0				
jamellasunique757	757	100	1		1		47		xhn			5	5000								allskills		1	1	dex		47	71	cheap		10	20	balance1		35	35	ac-hth		260	495	ease		-47	-47	gold%		144	241	levelreq		1	1	thorns		47	94	heal-kill		16	29	dmg%		47	94						0				
jamellasunique758	758	100	1		1		47		xrs			5	5000								dru		1	3	dmg-to-mana		25	50	hp%		23	47	aura	105	3	16	half-freeze		1	1	heal-kill		16	29	mana%		23	47																						0				
jamellasunique759	759	100	1		1		59		xpl			5	5000								ama		1	4	res-all-max		10	20	abs-ltng%		25	50	hp		118	177	cheap		10	20	pal		1	4	move1		15	84	mag%		84	168	light-thorns		59	118	gold%		168	277										0				
jamellasunique760	760	100	1		1		53		xlt			5	5000								pal		1	4	ease		-53	-53	hp		106	159	regen		26	106	oskill	40	6	53	regen-mana		26	106																										0				
jamellasunique761	761	100	1		1		59		xld			5	5000								pal		1	4	dmg%		177	295	ac-miss		320	615	balance1		35	35	ethereal		1	1	indestruct		1	1	move1		15	84																						0				
jamellasunique762	762	100	1		1		65		xth			5	5000								ama		1	4	regen		32	130	hp		130	195	res-all		29	42	hp%		32	65	vit		65	98	extra-pois		32	65	gold%		180	295	oskill	58	6	65														0				
jamellasunique763	763	100	1		1		65		xul			5	5000								ama		1	4	res-all		29	42	ease		-65	-65	mag%		90	180	mana-kill		21	38	res-pois-len		75	75	dmg-to-mana		25	50	heal-kill		21	38	enr		65	98	hp%		32	65	hp		130	195	move1		15	90		0				
jamellasunique764	764	100	1		1		75		xar			5	5000								ass		1	4	aura	110	3	25	abs-ltng%		25	50	mag%		100	200	dmg-to-mana		25	50	gold%		200	325	extra-ltng		37	75	res-all		30	44	move1		15	100	red-mag		37	75	hp%		37	75						0				
jamellasunique765	765	100	1		1		56		xtp			5	5000								allskills		1	2	all-stats		19	33	red-mag		28	56	abs-cold%		25	50	res-cold-max		10	20	move1		15	81	mana		112	168																						0				
jamellasunique766	766	100	1		1		38		xuc			5	5000								allskills		1	1	dmg%		38	76	ease		-38	-38	addxp		10	20	swing1		10	39	ac-hth		215	405																										0				
jamellasunique767	767	100	1		1		41		xml			5	5000								pal		1	3	mana		82	123	move1		15	66	aura	100	3	14	demon-heal		15	26	regen		20	82	oskill	117	6	41																						0				
jamellasunique768	768	100	1		1		40		xrg			5	5000								dru		1	3	gold%		130	220	res-all		26	37	res-pois-len		75	75	mag%		65	130	oskill	32	3	14	regen-mana		20	80	mana-kill		15	25																		0				
jamellasunique769	769	100	1		1		48		xit			5	5000								ama		1	3	pal		1	3	move1		15	73	res-ltng-max		10	20	ease		-48	-48	cheap		10	20	light-thorns		48	96	regen-mana		24	96																		0				
jamellasunique770	770	100	1		1		53		xow			5	5000								ama		1	4	ease		-53	-53	res-pois-len		75	75	dmg-to-mana		25	50	res-all		28	40	red-mag		26	53																										0				
